"tPi_ns","Delta_g3_minus_g3prime","clean_infidelity","clean_leakage","qs_infidelity","qs_leakage","onef_infidelity","onef_leakage"
70.98568883479005,12.200000000000001,6.5714100827563016e-12,6.5711880381513765e-12,0.000011161150545177522,1.1542933867791928e-7,0.000005262465646812542,1.4754162949992545e-7
70.408569413369,12.3,6.787459483348357e-12,6.7875705056508195e-12,0.000008950940491576076,1.123551647019827e-7,0.000005447075712144977,1.568872340368399e-7
69.84075836971279,12.4,6.982081579565147e-12,6.9817485126577594e-12,0.000011148715030307454,1.074957497404494e-7,0.000005038835267129338,1.3812045688565978e-7
69.2820323027551,12.5,7.157607839758384e-12,7.157607839758384e-12,0.000010013649139112845,1.1186944704366652e-7,0.000004791248775155577,1.3607953109395777e-7
68.73217490352687,12.600000000000001,7.310374527946806e-12,7.310374527946806e-12,0.00001027886044235371,1.0596899282122596e-7,0.000004612366731605033,1.5351335260982424e-7
68.19097667594004,12.700000000000001,7.440936755642724e-12,7.440825733340262e-12,0.00000913274057245117,1.158243083076993e-7,0.000004886203309442116,1.473019693193356e-7
67.65823467065927,12.8,7.553069281129865e-12,7.553069281129865e-12,0.000011335722776525948,1.1140357400296619e-7,0.000005700597217379033,1.3812290937276206e-7
67.13375223135183,12.9,7.640110766260477e-12,7.640110766260477e-12,0.000010047256429542296,1.2488679440092464e-7,0.000004656151423622079,1.3879961531626517e-7
66.61733875264912,13,7.704947790898586e-12,7.704836768596124e-12,0.000010356895764547236,1.1498700605905298e-7,0.0000048262331943726974,1.2817373122031573e-7
66.10880944919377,13.100000000000001,7.753797603982093e-12,7.753575559377168e-12,0.00000886751499844851,1.0203740287761942e-7,0.000005653627858472898,1.4443239221673122e-7
65.60798513518473,13.200000000000001,7.778999666641084e-12,7.778999666641084e-12,0.00001111743800781384,1.1178605101747063e-7,0.000004968429255797768,1.3566236353179662e-7
65.11469201386757,13.3,7.788769629257786e-12,7.788658606955323e-12,0.000011201197827551134,1.2056505636848235e-7,0.000004258760956162288,1.544946206549769e-7
64.62876147645063,13.4,7.775446952962284e-12,7.775446952962284e-12,0.0000089678777636093,1.2304140105445783e-7,0.0000050330762720973694,1.4098332037748572e-7
64.1500299099584,13.5,7.749356711883593e-12,7.74924568958113e-12,0.000011290166640821608,1.1588330946166181e-7,0.0000047979703062900335,1.4511014359341879e-7
63.678338513561656,13.600000000000001,7.700062809590236e-12,7.700062809590236e-12,0.00000971878249164504,1.1796108703943098e-7,0.000005114530850312549,1.3356736080938347e-7
63.21353312295172,13.700000000000001,7.64110996698264e-12,7.641220989285102e-12,0.000008794779546695274,9.466983442896204e-8,0.0000045537855167859796,1.4622816030318565e-7
62.75546404235062,13.8,7.565281734400742e-12,7.565170712098279e-12,0.00000968168532422653,1.2730151241369114e-7,0.000004345064182094682,1.3363741125538287e-7
62.30398588377256,13.9,7.474687535591329e-12,7.474576513288866e-12,0.000010285615601719478,1.075635471758929e-7,0.000004262266851017827,1.385386029301161e-7
